Справочник БИК;;;;;;;;;;
Актуально на 28.05.2023. Всего записей — 1397.;;;;;;;;;;
Подготовлено сайтом bik10.ru;;;;;;;;;;
Справочник БИК онлайн;;;;;;;;;;
БИК;Регион;Почтовый индекс;Город;Адрес;Наименование;Телефон;Корреспондентский счет;Регистрационный номер;Тип организации;Дата внесения
040507867;05;690002;Владивосток;Океанский пр-т, 131 В;ФИЛИАЛ ББР БАНКА (АО), Г. ВЛАДИВОСТОК;(423)2493890,2493896;30101810000000000867;2929/1;Филиал банка;2000-06-30
042202837;22;603950;Нижний Новгород;ул Решетниковская, 4 ГСП 78;Филиал Банка ВТБ (ПАО) в г. Нижнем Новгороде;(831)4280434,4343333;30101810200000000837;1000/24;Филиал банка;1998-11-13
040813704;08;680000;Хабаровск;Амурский б-р, 18;"Ф-Л ДАЛЬНЕВОСТОЧНЫЙ ПАО БАНКА ""ФК ОТКРЫТИЕ""";(4212)300202;30101810908130000704;2209/51;Филиал банка;2016-09-19
045004833;50;630004;Новосибирск;пр-т Димитрова, 4/1;"НОВОСИБИРСКИЙ ФИЛИАЛ ООО ""БАНК БКФ""";(383)3191118,3191116;30101810750040000833;2684/3;Филиал банка;2011-06-01
044030874;40;191023;Санкт-Петербург;Набережная реки Фонтанки, д. 13, литера А, помещение 2Н № 1, 4-6, 2 этаж;"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ООО ""БАНК БКФ""";(812)3138740,3138749;30101810800000000874;2684/2;Филиал банка;2008-09-22
042202847;22;603024;Нижний Новгород;ул. Белинского, дом 61, корпус 1;"Поволжский филиал АО ""Райффайзенбанк""";(831)2969500,2969525;30101810300000000847;3292/6;Филиал банка;2006-05-18
042809903;28;170005;Тверь;ул Мусоргского, 12;"филиал ""ОРБИТА"" АО ""Банк ""Торжок""";(4822)520089,557777;30101810900000000903;933/1;Филиал банка;1999-03-05
048717785;87;169300;Ухта;пр-т Ленина, 1;"""Северный Народный Банк"" (АО) Ф-л в г. Ухта";(8216)747204,795734;30101810000000000785;2721/1;Филиал банка;1995-02-01
040702793;07;355017;Ставрополь;ул Мира, 319;"ФИЛИАЛ АКБ ""ФОРА-БАНК"" (АО) В Г. СТАВРОПОЛЬ";(8652)225065,225165;30101810007020000793;1885/7;Филиал банка;2015-07-08
044030733;40;191119;Санкт-Петербург;Лиговский пр-кт д. 94, к. 2 лит. А пом. 4-Н;"ФИЛИАЛ ООО КБ ""РОСТФИНАНС"" В САНКТ-ПЕТЕРБУРГЕ";(812)4560405;30101810340300000733;481/3;Филиал банка;2014-04-01
046015051;60;344002;Ростов-на-Дону;ул Пушкинская, 117;"Ф-Л АКБ ""ФОРА-БАНК"" (АО) В Г.РОСТОВ-НА-ДОНУ";(863)2403640;30101810460150000051;1885/5;Филиал банка;2017-09-15
047144778;71;628400;Сургут;ул Губкина, 15 А;"СФ АО БАНК ""СНГБ""";(3462)398700;30101810165777100778;588/10;Филиал банка;2017-04-19
047102870;71;625002;Тюмень;ул Сакко, 11;"ТФ АО БАНК ""СНГБ""";(3452)507810;30101810500000000870;588/4;Филиал банка;1996-01-25
042908780;29;248001;Калуга;ул. Кирова, зд. 2;"КАЛУЖСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(4842)575003,723475;30101810100000000780;3349/27;Филиал банка;2001-02-23
040702701;07;355035;Ставрополь;ул Маршала Жукова, 26;"СТАВРОПОЛЬСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(8652)258080,258075;30101810200000000701;3349/6;Филиал банка;2000-10-27
047003792;70;300000;Тула;ул. Оборонная, д.25;"Филиал ""Тульский"" ООО КБ ""АРЕСБАНК""";(4872)363372;30101810300000000792;2914/1;Филиал банка;2000-02-11
040407777;04;660049;Красноярск;ул. Ленина, д. 46;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г.КРАСНОЯРСКЕ;(391)2707707,2560802;30101810200000000777;1000/3;Филиал банка;1994-01-20
040407862;04;660017;Красноярск;ул. Дубровинского, д. 106;"ФИЛИАЛ ""СДМ-БАНК"" (ПАО) В Г.КРАСНОЯРСКЕ";(391)2279797,2783082;30101810500000000862;1637/2;Филиал банка;1994-01-20
040507861;05;690091;Владивосток;ул. Прапорщика Комарова, д.12в;"ПРИМОРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(423)2221327,2223587;30101810200000000861;3349/54;Филиал банка;2002-04-26
040407915;04;660049;Красноярск;ул. Дубровинского, д. 100;КРАСНОЯРСКИЙ ФИЛИАЛ БАНКА СОЮЗ (АО);(391)2660549,2661390;30101810800000000915;2307/7;Филиал банка;2005-10-10
040407877;04;660075;Красноярск;ул. Маерчака, 10, пом. 4-14;"Ф-Л БАНКА ГПБ (АО) ""ВОСТОЧНО-СИБИРСКИЙ""";(391)2745800;30101810100000000877;354/34;Филиал банка;2006-03-10
040407923;04;660049;Красноярск;ул. Перенсона, д. 33;"КРАСНОЯРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(391)2676707;30101810300000000923;3349/49;Филиал банка;2002-01-09
045773808;57;614007;Пермь;ул Максима Горького, 77 А;"Ф-Л БАНКА ГПБ (АО) ""ЗАПАДНО-УРАЛЬСКИЙ""";(342)2190060,2190050;30101810200000000808;354/32;Филиал банка;2002-11-21
040349556;03;350002;Краснодар;ул Северная, 395;"ЮЖНЫЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""";(861)2109922,2479920;30101810900000000556;3292/7;Филиал банка;2006-06-22
048142744;81;670000;Улан-Удэ;ул Коммунистическая, 49;Ф-л Азиатско-Тихоокеанский Банк АО г.Улан-Удэ;(3012)216190,211328;30101810700000000744;1810/14;Филиал банка;2005-12-29
044030704;40;191144;Санкт-Петербург;Дегтярный переулок, д. 11, лит.А;Ф. ОПЕРУ БАНКА ВТБ (ПАО) В САНКТ-ПЕТЕРБУРГЕ;(812)7185837;30101810200000000704;1000/74;Филиал банка;2011-04-01
048073928;80;450022;Уфа;ул Менделеева, 138;Ф-Л БАНКА ГПБ (АО) В Г.УФЕ;(347)2566780,2566763;30101810300000000928;354/25;Филиал банка;1999-03-19
048327780;83;360004;Нальчик;ул Ахохова, 167;"Ф-Л СЕВЕРО-КАВКАЗСКИЙ ПАО БАНК ""ФК ОТКРЫТИЕ""";(8662)443635,440204;30101810083270000780;2209/46;Филиал банка;2016-09-26
044030706;40;191023;Санкт-Петербург;ул Инженерная, 9;"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г.САНКТ-ПЕТЕРБУРГ";(812)3264200;30101810800000000706;2275/1;Филиал банка;1995-04-25
046577501;65;620014;Екатеринбург;пр-т Ленина, 27;ФИЛИАЛ № 6602 БАНКА ВТБ (ПАО);(343)3862400;30101810165770000501;1000/92;Филиал банка;2017-11-10
040813770;08;680000;Хабаровск;ул Муравьёва-Амурского, 36;"ФИЛИАЛ ""ХАБАРОВСКИЙ"" АО ""АЛЬФА-БАНК""";(4212)452899,452895;30101810800000000770;1326/20;Филиал банка;2000-11-17
046015066;60;344002;Ростов-на-Дону;ул. Красноармейская, дом №170;"Ф-Л АО АКБ ""НОВИКОМБАНК"" В Г.РОСТОВЕ-НА-ДОНУ";(863)2017777;30101810060150000066;2546/2;Филиал банка;2011-03-28
046015061;60;344018;Ростов-на-Дону;улица Текучева, дом 234;"ФИЛИАЛ ЮЖНЫЙ ПАО БАНКА ""ФК ОТКРЫТИЕ""";(863)2688901;30101810560150000061;2209/48;Филиал банка;2017-10-20
040813733;08;680000;Хабаровск;ул. Калинина, 28;"ХАБАРОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(4212)476652;30101810300000000733;3349/75;Филиал банка;2007-12-03
049514608;95;655017;Абакан;ул. Пушкина 165, литер. А, помещения 2Н, 3Н;АБАКАНСКОЕ ОТДЕЛЕНИЕ  N8602 ПАО СБЕРБАНК;(383)3193801;30101810500000000608;1481/1662;Филиал банка;1994-11-15
040407853;04;660049;Красноярск;ул. Карла Маркса, дом 62;"КРАСН.Ф-Л АО АИКБ ""ЕНИСЕЙСК.ОБЪЕД.БАНК""";(391)2779695,2779600;30101810700000000853;2645/3;Филиал банка;1997-11-18
046577411;65;620075;Екатеринбург;ул Луначарского, 134 В;"Ф-Л БАНКА ГПБ (АО) ""УРАЛЬСКИЙ""";(343)3555802;30101810365770000411;354/26;Филиал банка;2000-03-17
043601978;36;443011;Самара;улица Ново-Садовая, дом 207;"САМАРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(846)3735104,3735148;30101810900000000978;3349/13;Филиал банка;2000-11-13
040407702;04;660037;Красноярск;ул. Коломенская, дом 12;"КРАСНОЯРСКИЙ ФИЛИАЛ АКБ ""ЛАНТА-БАНК"" (АО)";(391)2629236,2629235;30101810000000000702;1920/3;Филиал банка;1997-12-09
040813727;08;680000;Хабаровск;ул Московская, 7;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ХАБАРОВСКЕ;(4212)413601;30101810400000000727;1000/2;Филиал банка;1994-01-20
044525843;45;101000;Москва;Большой Златоустинский переулок, дом 1, строение 6;Креди Агриколь КИБ АО (Московский филиал);(495)5648500,5648513;30101810645250000843;1680/1;Филиал банка;2016-06-20
044525610;45;125040;Москва;ул. МАСЛОВКА НИЖН., д. 11, корп. 1;Московский филиал АКБ МКПБ (АО);(499)2576440,2571572;30101810645250000610;2103/3;Филиал банка;2008-12-15
044525576;45;109240;Москва;ул. Гончарная, д. 15, стр. 1;"Ф-л Банка ""ТРАСТ"" (ПАО) в г. Москва";(495)9621131;30101810145250000576;3279/45;Филиал банка;1998-11-06
044525092;45;127015;Москва;ул. Новодмитровская, д. 2, корп. 1;"Московский Филиал АО КБ ""Модульбанк""";(495)9213171;30101810645250000092;1927/6;Филиал банка;2011-02-15
049304738;93;667000;Кызыл;ул. Тувинских добровольцев, д. 23;"ТУВИНСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(39422)24101,20401;30101810400000000738;3349/57;Филиал банка;2002-04-12
044030707;40;197022;Санкт-Петербург;ул. Льва Толстого, д. 9, литера А, помещение 10-Н;ФИЛИАЛ № 7806 БАНКА ВТБ (ПАО);(812)3241214;30101810240300000707;1000/90;Филиал банка;2017-09-21
045805722;58;180000;Псков;ул Гоголя, 2;ФИЛИАЛ ЭКСИ-БАНК (АО) ПСКОВСКИЙ;(8112)723222,752176;30101810400000000722;2530/1;Филиал банка;1995-07-27
040349838;03;350015;Краснодар;ул. Северная, 311/ул. им. Янковского, 172;"КРФ АО ""СМП БАНК""";(861)2624363;30101810000000000838;3368/8;Филиал банка;2008-08-07
044525094;45;121069;Москва;ул. Садовая - Кудринская, д. 2/62, стр. 4;"Московский филиал ""БАНК СГБ""";(499)9514940;30101810245250000094;2816/19;Филиал банка;2016-05-27
044030752;40;198095;Санкт-Петербург;ул. Маршала Говорова, 35 лит А пом. 2Н;"САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ ""БАНК СГБ""";(812)3365900;30101810100000000752;2816/17;Филиал банка;2004-07-01
044525220;45;108814;Москва;п. Сосенское, пос. Газопровод, д.101, кор.5;"Центральный филиал АБ ""РОССИЯ""";(495)6663250;30101810145250000220;328/15;Филиал банка;2016-05-16
042007835;20;394018;Воронеж;пр-т Революции, 58;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;(473)2531926,2533348;30101810100000000835;1000/25;Филиал банка;1999-01-05
042007855;20;394030;Воронеж;ул Кольцовская, 31;ФИЛИАЛ № 3652 БАНКА ВТБ (ПАО);(473)2356000;30101810545250000855;1000/96;Филиал банка;2018-01-09
046015999;60;344000;Ростов-на-Дону;Ворошиловский пр-т, 62/284;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. РОСТОВЕ-НА-ДОНУ;(863)2972728,2972726;30101810300000000999;1000/30;Филиал банка;1999-06-25
043601777;36;443010;Самара;ул. Чапаевская/Красноармейская, д.178/12;САМАРСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА;(846)2673360,2673350;30101810800000000777;1/7;Филиал банка;2006-04-24
044030653;40;191124;Санкт-Петербург;ул Красного Текстильщика, 2;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;(812)3299600,3299691;30101810500000000653;1481/1309;Филиал банка;1994-01-20
040507871;05;690091;Владивосток;ул Уборевича, 11;ДАЛЬНЕВОСТОЧНЫЙ ФИЛИАЛ ПАО РОСБАНК;(423)2493934,2493796;30101810300000000871;2272/73;Филиал банка;2005-03-21
042748866;27;236039;Калининград;Ленинский пр-т, 5;Ф-Л БАНКА ГПБ (АО) В Г. КАЛИНИНГРАДЕ;(4012)305200;30101810800000000866;354/38;Филиал банка;2007-09-13
044525797;45;119002;Москва;пер. Староконюшенный, дом 10, комната № 23;Ф Точка Банк КИВИ Банк (АО);(495)2313645;30101810445250000797;2241/5;Филиал банка;2017-08-31
040407388;04;660135;Красноярск;ул. Взлетная, д.57;СИБИРСКИЙ ФИЛИАЛ ПАО РОСБАНК;(391)2747681,2662104;30101810000000000388;2272/62;Филиал банка;2005-01-14
040407592;04;660049;Красноярск;"ул. Карла Маркса, д. 93 ""А""";"СФ АО АКБ ""МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ""";(391)2743765;30101810100000000592;2618/1;Филиал банка;2009-05-28
046015602;60;344068;Ростов-на-Дону;ул Евдокимова, 37;ЮГО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;(863)2878241,(800)5555550;30101810600000000602;1481/1190;Филиал банка;1994-05-30
044525307;45;127051;Москва;Петровский бульвар, д. 11;"""Северный Народный Банк"" (АО) Ф-л в г. Москва";(495)6944610;30101810945250000307;2721/2;Филиал банка;1995-07-10
043807798;38;305004;Курск;ул Садовая, 12;"КУРСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(4712)390588;30101810700000000798;3349/32;Филиал банка;2001-05-08
045004816;50;630099;Новосибирск;ул Серебренниковская, 37 А;"СИБИРСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";(383)3251500,3251509;30101810500000000816;3251/4;Филиал банка;2000-11-17
047003716;70;300026;Тула;пр-т Ленина, 106;"Ф-л Банка ГПБ (АО) ""Среднерусский""";(4872)333528;30101810700000000716;354/3;Филиал банка;1994-01-20
045004725;50;630049;Новосибирск;Красный пр-т, 184/1;"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г.НОВОСИБИРСК";(383)2258798;30101810400000000725;2275/2;Филиал банка;1996-10-04
045004867;50;630009;Новосибирск;ул. Добролюбова, д. 16;"Ф-Л СИБИРСКИЙ ПАО БАНК ""ФК ОТКРЫТИЕ""";(383)2172323;30101810250040000867;2209/47;Филиал банка;2016-09-27
042520607;25;664011;Иркутск;ул. Нижняя Набережная, д.10;БАЙКАЛЬСКИЙ БАНК ПАО СБЕРБАНК;(3952)282111,282222;30101810900000000607;1481/422;Филиал банка;1994-11-15
042007681;20;394018;Воронеж;ул 9 Января, 28;ЦЕНТРАЛЬНО-ЧЕРНОЗЕМНЫЙ БАНК ПАО СБЕРБАНК;(495)7473510,88005555550;30101810600000000681;1481/314;Филиал банка;1994-11-15
041806647;18;400005;Волгоград;ул Коммунистическая, 40;ВОЛГОГРАДСКОЕ ОТДЕЛЕНИЕ №8621 ПАО СБЕРБАНК;(8442)965302,965330;30101810100000000647;1481/264;Филиал банка;1994-01-20
042202824;22;603024;Нижний Новгород;ул Белинского, 61;"ФИЛИАЛ ""НИЖЕГОРОДСКИЙ"" АО ""АЛЬФА-БАНК""";(831)2827001,2827022;30101810200000000824;1326/1;Филиал банка;1996-11-19
040702788;07;355000;Ставрополь;ул Маршала Жукова, 7;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. СТАВРОПОЛЕ;(865)261754,260446;30101810100000000788;1000/9;Филиал банка;1994-01-20
048073601;80;450059;Уфа;ул Рихарда Зорге, 5;БАШКИРСКОЕ ОТДЕЛЕНИЕ N8598 ПАО СБЕРБАНК;(347)2233445;30101810300000000601;1481/130;Филиал банка;1994-01-20
040702703;07;355035;Ставрополь;ул Маршала Жукова, 2;"ФИЛИАЛ СКРУ АО ""МИНБАНК""";(8652)296801,296802;30101810800000000703;912/45;Филиал банка;2003-06-26
042202812;22;607060;Выкса;пл Октябрьской Революции, 48;"ВЫКСУНСКИЙ Ф-Л ПАО АКБ ""МЕТАЛЛИНВЕСТБАНК""";(83177)35825,31157;30101810522020000812;2440/3;Филиал банка;1999-01-11
046015234;60;344002;Ростов-на-Дону;ул Социалистическая, 74;"Филиал РРУ АО ""МИнБанк""";(863)2001980,2001994;30101810900000000234;912/48;Филиал банка;2004-10-14
040396050;03;354340;Сириус;ул. Международная, 4;"ФИЛИАЛ ""СИРИУС"" АО ""АБ ""РОССИЯ""";;30101810145370396050;328/25;Филиал банка;2022-08-15
047186825;71;629300;Новый Уренгой;ул. 26 Съезда КПСС, 4;Ф-Л БАНКА ГПБ (АО) В Г. НОВОМ УРЕНГОЕ;;30101810665777100825;354/6;Филиал банка;2019-10-31
045004888;50;630091;Новосибирск;ул. Гоголя, д. 7,9,11;"ф-л ""Невский"" ПАО ""Банк ""Санкт-Петербург""";;30101810450045004888;436/29;Филиал банка;2019-12-20
041012051;10;675004;Благовещенск;ул. Пионерская, дом 2, пом.№20011, 20030;"Филиал ООО КБ ""РостФинанс"" в Благовещенске";;30101810045371012051;481/5;Филиал банка;2022-11-03
046577517;65;620026;Екатеринбург;улица Белинского, строение 55;"Филиал ""Уральский"" АО КБ ""Солидарность""";;30101810065770000517;554/12;Филиал банка;2018-12-18
041012050;10;675025;Благовещенск;ул. Краснофлотская, дом 77, помещения 20003, 20004;"Филиал ""Дальневосточный"" АО КБ ""Солидарность""";;30101810610120000050;554/13;Филиал банка;2019-06-10
044525310;45;109044;Москва;улица Воронцовская, дом 4, строение 1;"Московский филиал ООО КБ ""Дружба""";;30101810945250000310;990/3;Филиал банка;2020-07-06
045773804;57;618905;Лысьва;Пожарского, д.8;"ФИЛИАЛ ""ЛЫСЬВА"" АО АКБ ""АЛЕФ-БАНК""";;30101810965775700804;2119/3;Филиал банка;2018-10-05
044525354;45;123112;Москва;1-й Красногвардейский проезд, д. 19;"Филиал ПАО РОСБАНК ""Росбанк Дом""";;30101810545250000354;2272/94;Филиал банка;2019-06-14
044525454;45;123112;Москва;1-й Красногвардейский проезд, д. 19, этаж 13;Филиал РОСБАНК Авто ПАО РОСБАНК;;30101810445250000454;2272/95;Филиал банка;2021-03-01
045004162;50;630005;Новосибирск;ул. Писарева, д. 32.;"Филиал АО АКБ ""НОВИКОМБАНК"" в г. Новосибирске";;30101810150045004162;2546/6;Филиал банка;2020-04-27
040349602;03;350000;Краснодар;ул Красноармейская, 34;КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК;(861)2750808;30101810100000000602;1481/638;Филиал банка;1994-01-20
042202603;22;603005;Нижний Новгород;ул Октябрьская, 35;ВОЛГО-ВЯТСКИЙ БАНК ПАО СБЕРБАНК;(831)4179800,4179820;30101810900000000603;1481/937;Филиал банка;1994-01-20
044525757;45;121293;Москва;площадь Победы, дом 2, корпус 2;"Московский филиал АО ""Банк Акцепт""";(495)7253967;30101810045250000757;567/2;Филиал банка;2009-10-22
047601637;76;672010;Чита;ул Полины Осипенко, 40;ЧИТИНСКОЕ ОТДЕЛЕНИЕ  N8600 ПАО СБЕРБАНК;(3022)336111;30101810500000000637;1481/1727;Филиал банка;1994-11-15
043002801;30;683024;Петропавловск-Камчатский;пр-т 50 лет Октября, 21;"Камчатский РФ АО ""Россельхозбанк""";(4152)298337,490133;30101810100000000801;3349/53;Филиал банка;2002-03-11
046015207;60;344000;Ростов-на-Дону;ул Красноармейская, 206;"ФИЛИАЛ ""РОСТОВСКИЙ"" АО ""АЛЬФА-БАНК""";(863)2077525,2077540;30101810500000000207;1326/18;Филиал банка;2000-07-14
046577952;65;620014;Екатеринбург;ул Маршала Жукова, 5;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ЕКАТЕРИНБУРГЕ;(343)3796602,3796696;30101810400000000952;1000/28;Филиал банка;1999-02-12
040349758;03;350000;Краснодар;ул. Красноармейская, 43/ ул. им. Гоголя, 68;ФИЛИАЛ № 2351 БАНКА ВТБ (ПАО);(861)2126424,2125627;30101810703490000758;1000/94;Филиал банка;2018-01-09
045354817;53;460005;Оренбург;пр-т Победы, 89, помещение 5;"ОРЕНБУРГСКИЙ ФИЛИАЛ АО КБ ""АГРОПРОМКРЕДИТ""";(3532)376262,376200;30101810300000000817;2880/5;Филиал банка;2002-02-08
045354601;53;460961;Оренбург;ул. Володарского, двлд. 16;ОРЕНБУРГСКОЕ ОТДЕЛЕНИЕ N8623 ПАО СБЕРБАНК;(846)2278273,2278265;30101810600000000601;1481/1042;Филиал банка;1994-11-15
047003715;70;300041;Тула;ул Тургеневская, 5;"Тульский РФ АО ""Россельхозбанк""";(4872)550404,550080;30101810400000000715;3349/1;Филиал банка;2000-10-27
045004778;50;630007;Новосибирск;ул Сибревкома, 2;"ФИЛИАЛ БАНКА ""ВБРР"" (АО) В Г.НОВОСИБИРСКЕ";(383)2302201;30101810750040000778;3287/13;Филиал банка;2014-09-04
040173604;01;656038;Барнаул;Комсомольский пр-т, 106 А;АЛТАЙСКОЕ ОТДЕЛЕНИЕ N8644 ПАО СБЕРБАНК;(3852)399295,399230;30101810200000000604;1481/16;Филиал банка;1994-11-15
043304609;33;610000;Киров;ул Дерендяева, 25;КИРОВСКОЕ ОТДЕЛЕНИЕ N8612 ПАО СБЕРБАНК;(8332)369036;30101810500000000609;1481/558;Филиал банка;1994-05-30
048073875;80;450077;Уфа;ул Достоевского, 100/1;"ФИЛИАЛ ""ИНВЕСТКАПИТАЛБАНК"" АО ""СМП БАНК""";(347)2919919,2913754;30101810480730000875;3368/13;Филиал банка;2015-11-12
048073948;80;450000;Уфа;ул Кирова, 27;БАШКИРСКИЙ ФИЛИАЛ АО ЮНИКРЕДИТ БАНКА;(347)2920840,2920842;30101810980730000948;1/11;Филиал банка;2008-12-25
040702754;07;355029;Ставрополь;ул Ленина, 429 Б;"Ф-Л БАНКА ГПБ (АО) ""СЕВЕРО-КАВКАЗСКИЙ""";(8652)566783;30101810600000000754;354/24;Филиал банка;1998-02-24
044525858;45;119048;Москва;ул. Усачёва, д. 35, стр. 1;"Филиал ""ПростоБанк"" Банка ""КУБ"" (АО)";;30101810245250000858;2584/4;Филиал банка;2020-03-25
045004051;50;630049;Новосибирск;ул. Дмитрия Донского, 11;"Новосибирский филиал РНКО ""Р-ИНКАС"" (ООО)";;30103810450045004051;3536-К/1;Филиал банка;2018-10-26
048718777;87;169711;Усинск;ул. 60 лет Октября, д. 12;"""Северный Народный Банк"" (АО) Ф-л в г. Усинск";;30101810440300087777;2721/5;Филиал банка;2019-10-25
044525774;45;101000;Москва;Лучников переулок, дом 7/4, строение 6, 1 этаж, помещение 3;"Филиал ""Возрождение"" АО ""БМ-Банк""";;30101810345250000774;2748/63;Филиал банка;2021-04-30
043807330;38;305000;Курск;ул. Ленина, д. 13;"Центрально-Черноземный Филиал АО ""Экспобанк""";;30101810345250000330;2998/14;Филиал банка;2020-03-06
042157106;21;283076;Донецк;пр-кт Мира, 8А;"Донецкий ф-л ПАО ""Промсвязьбанк""";;30101810745372157106;3251/52;Филиал банка;2023-01-04
044371122;43;291001;Луганск;ул. Шевченко Т. Г., д. 1;"Луганский ф-л ПАО ""Промсвязьбанк""";;30101810745374371122;3251/53;Филиал банка;2023-01-04
043510135;35;295000;Симферополь;пр-кт Кирова, д. 36 Литер Е;"Крымский ф-л ПАО ""Промсвязьбанк""";;30101810645373510135;3251/54;Филиал банка;2022-10-04
046711119;67;299011;Севастополь;пр-кт Нахимова, д.1;"СЕВАСТОПОЛЬСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";;30101810545376711119;3251/55;Филиал банка;2022-10-05
049205555;92;420111;Казань;ул. Московская, зд.19/8;"ТФ АО ""СМП Банк""";;30101810322029200555;3368/14;Филиал банка;2021-02-08
040813713;08;680000;Хабаровск;ул. Муравьёва - Амурского, д. 18, пом. 0, 1;ФИЛИАЛ № 2754 БАНКА ВТБ (ПАО);(4212)455455;30101810708130000713;1000/93;Филиал банка;2018-01-09
044525395;45;107045;Москва;переулок Ананьевский, дом 5, строение 3;"МФ АО БАНК ""СНГБ""";(495)6080002;30101810245250000395;588/7;Филиал банка;2000-01-28
048073770;80;450008;Уфа;ул Революционная, 41;"ФИЛИАЛ ПАО ""БАНК УРАЛСИБ"" В Г.УФА";(347)2519500;30101810600000000770;2275/27;Филиал банка;2005-09-12
043469623;34;156005;Кострома;ул Никитская, 33;КОСТРОМСКОЕ ОТДЕЛЕНИЕ N 8640 ПАО СБЕРБАНК;(4942)390315,390336;30101810200000000623;1481/623;Филиал банка;1994-01-20
046015211;60;344082;Ростов-на-Дону;пр-кт Буденновский, д.37;"РОСТОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(863)2432800,2432732;30101810800000000211;3349/7;Филиал банка;2000-10-27
044030812;40;191119;Санкт-Петербург;ул. Воронежская, 5 лит А пом. 32Н;"ФИЛИАЛ ""САНКТ-ПЕТЕРБУРГСКИЙ"" АО ""ОТП БАНК""";(812)4545561;30101810600000000812;2766/1;Филиал банка;2005-03-01
041117601;11;163000;Архангельск;пр-т Ломоносова, 137;АРХАНГЕЛЬСКОЕ ОТДЕЛЕНИЕ N 8637 ПАО СБЕРБАНК;(8182)656273;30101810100000000601;1481/88;Филиал банка;1994-05-30
041909644;19;160000;Вологда;ул Предтеченская, 33;ВОЛОГОДСКОЕ ОТДЕЛЕНИЕ N8638 ПАО СБЕРБАНК;(8846)2278273,2278265;30101810900000000644;1481/297;Филиал банка;1994-01-20
044525745;45;107031;Москва;ул. Кузнецкий мост, д.17, стр. 1;Филиал № 7701 Банка ВТБ (ПАО);(495)9258000;30101810345250000745;1000/97;Филиал банка;2017-10-05
040407627;04;660028;Красноярск;проспект Свободный, 46;КРАСНОЯРСКОЕ ОТДЕЛЕНИЕ N 8646 ПАО СБЕРБАНК;(391)2598003,2598217;30101810800000000627;1481/664;Филиал банка;1994-01-20
046577922;65;620014;Екатеринбург;ул Февральской Революции, 15;"СВЕРДЛОВСКИЙ РФ АО ""РОССЕЛЬХОЗБАНК""";(343)3561860,3561864;30101810100000000922;3349/73;Филиал банка;2007-07-16
044525599;45;140002;Люберцы;Октябрьский проспект, дом 112;"Филиал АКБ ""СЛАВИЯ"" (АО) в г. Люберцы";(495)9818136;30101810245250000599;2664/2;Филиал банка;2006-06-22
045004719;50;630112;Новосибирск;ул Фрунзе, 232, 234, 234/1;ФИЛИАЛ № 5440 БАНКА ВТБ (ПАО);(383)2492424,2492425;30101810450040000719;1000/91;Филиал банка;2017-10-16
044525411;45;107031;Москва;ул. Рождественка, д. 10/2, строен. 1;"Филиал ""Центральный"" Банка ВТБ (ПАО)";(495)9258000 (18129);30101810145250000411;1000/81;Филиал банка;2016-04-18
047501602;75;454048;Челябинск;ул Энтузиастов, 9 А;ЧЕЛЯБИНСКОЕ ОТДЕЛЕНИЕ N8597 ПАО СБЕРБАНК;(351)2671400,2671544;30101810700000000602;1481/1700;Филиал банка;1994-07-29
040349700;03;350015;Краснодар;ул Красная, 152;"ФИЛИАЛ ""ЮЖНЫЙ"" ПАО ""БАНК УРАЛСИБ""";(861)2192717;30101810400000000700;2275/60;Филиал банка;2010-05-31
044525656;45;109544;Москва;улица Малая Андроньевская, дом 20/8, строение 1-1А;"Филиал АО ""ГЕНБАНК"" в г. Москве";(495)7775545;30101810845250000656;2490/4;Филиал банка;2016-02-01
